Date,Mkt-RF,SMB,HML,RF
200906,0.43,2.63,-2.62,0.01
200907,7.72,1.9,4.87,0.01
200908,3.33,-1.1,7.5,0.01
200909,4.08,2.41,0.89,0.01
200910,-2.59,-4.18,-4.03,0
200911,5.56,-2.48,-0.25,0
200912,2.75,6.13,-0.11,0.01
201001,-3.36,0.37,0.33,0
201002,3.4,1.19,3.19,0
201003,6.31,1.44,2.11,0.01
201004,2,4.86,2.91,0.01
201005,-7.89,0.14,-2.39,0.01
201006,-5.57,-1.84,-4.52,0.01
201007,6.93,0.18,-0.36,0.01
201008,-4.77,-3.02,-1.9,0.01
201009,9.54,3.93,-3.23,0.01
201010,3.88,1.07,-2.46,0.01
201011,0.6,3.78,-0.95,0.01
201012,6.82,0.68,3.64,0.01
201101,1.99,-2.52,0.82,0.01
201102,3.49,1.53,1.29,0.01
201103,0.46,2.58,-1.76,0.01
201104,2.9,-0.37,-2.43,0
201105,-1.27,-0.58,-2.05,0
201106,-1.75,-0.11,-0.42,0
201107,-2.35,-1.37,-0.88,0
201108,-5.99,-3.03,-2.56,0.01
201109,-7.59,-3.35,-1.71,0
201110,11.35,3.32,0.13,0
201111,-0.28,-0.14,-0.48,0
201112,0.74,-0.66,1.68,0
201201,5.05,2.1,-0.9,0
201202,4.42,-1.84,0.46,0
201203,3.11,-0.68,1.21,0
201204,-0.85,-0.39,-0.77,0
201205,-6.19,0.16,-1.04,0.01
201206,3.89,0.78,0.58,0
201207,0.79,-2.62,-0.05,0
201208,2.55,0.47,1.12,0.01
201209,2.73,0.49,1.56,0.01
201210,-1.76,-1.09,3.61,0.01
201211,0.78,0.53,-0.83,0.01
201212,1.18,1.45,3.53,0.01
201301,5.57,0.36,0.98,0
201302,1.29,-0.42,0.13,0
201303,4.03,0.75,-0.23,0
201304,1.55,-2.4,0.53,0
201305,2.8,1.66,2.61,0
201306,-1.2,1.16,-0.09,0
201307,5.65,1.86,0.56,0
201308,-2.71,0.29,-2.66,0
201309,3.77,2.89,-1.15,0
201310,4.18,-1.53,1.21,0
201311,3.13,1.19,0.29,0
201312,2.81,-0.59,-0.05,0
201401,-3.32,0.87,-2.02,0
201402,4.65,0.31,-0.36,0
201403,0.43,-1.85,4.9,0
